cidade,area,quartos,wcs,vagas,andar,animal,mobilia,condominio,aluguel,iptu
São Paulo,80,1,1,1,2,n,n,0,1200,0
São Paulo,300,3,2,0,-,s,s,0,8300,217
São Paulo,54,1,2,1,13,s,s,1150,6000,0
São Paulo,192,3,4,2,13,s,n,1600,8500,0
Belo Horizonte,60,2,1,0,3,s,n,290,2200,80
São Paulo,190,3,4,3,14,s,s,1700,2740,900
Campinas,45,1,1,1,16,n,s,450,3900,105
Porto Alegre,37,1,1,0,4,s,n,335,1600,67
Belo Horizonte,72,2,1,1,9,s,n,421,1200,83
São Paulo,59,2,2,0,10,s,s,380,3900,143
São Paulo,300,2,3,2,1,s,n,7000,3560,1834
São Paulo,80,2,2,5,-,s,n,0,3000,59
São Paulo,120,3,3,2,11,s,n,995,2200,100
São Paulo,260,3,4,3,-,s,n,0,5000,393
São Paulo,35,1,1,0,-,n,n,0,500,0
São Paulo,120,4,2,3,6,s,s,950,2960,459
Rio de Janeiro,150,2,1,0,3,s,n,450,1500,180
São Paulo,235,3,2,2,5,s,s,3650,7200,626
Campinas,73,3,2,2,17,s,n,570,2400,125
Belo Horizonte,280,4,7,4,6,n,n,350,3000,660
São Paulo,38,1,1,0,6,s,n,420,2080,24
São Paulo,70,1,1,0,4,s,n,760,2400,156
São Paulo,82,2,2,0,3,n,n,650,1600,5
Belo Horizonte,107,3,2,2,2,s,s,585,2400,184
Belo Horizonte,164,4,2,2,3,s,n,310,3500,144
Campinas,184,4,3,4,-,s,n,0,3240,220
Porto Alegre,85,3,2,2,8,s,s,700,3400,100
Belo Horizonte,170,3,2,0,-,s,n,0,5000,320
Porto Alegre,30,1,1,1,3,s,n,200,1110,0
Rio de Janeiro,67,2,1,0,2,s,n,590,1500,57
Rio de Janeiro,60,1,1,1,15,s,s,2000,3900,167
Campinas,137,3,4,2,2,s,n,1176,3800,257
São Paulo,35,1,1,1,7,s,s,715,2370,0
São Paulo,264,4,4,6,-,s,n,0,6440,574
Porto Alegre,145,3,4,0,2,s,s,250,2950,75
São Paulo,278,4,5,2,16,s,s,4052,9000,1261
Porto Alegre,44,1,1,0,1,n,n,210,950,33
São Paulo,62,2,1,1,8,n,n,735,1345,35
São Paulo,192,3,3,2,-,s,n,0,2750,0
Campinas,135,2,2,2,2,s,n,1175,3800,255
São Paulo,193,4,4,4,3,n,n,1700,9000,917
São Paulo,90,3,3,2,1,s,n,870,2630,417
São Paulo,78,1,1,1,12,s,s,574,3850,225
Campinas,53,2,2,1,-,s,s,443,1900,54
Porto Alegre,65,2,1,0,3,s,n,140,985,21
Rio de Janeiro,38,1,1,0,10,s,s,640,1940,65
Porto Alegre,75,2,2,0,9,n,n,436,1350,50
Rio de Janeiro,72,1,2,1,6,s,n,580,2000,0
São Paulo,49,1,1,1,4,n,n,486,3200,0
Belo Horizonte,197,4,2,3,3,s,n,850,4250,400
Campinas,62,2,1,1,6,s,n,447,1200,76
São Paulo,38,1,1,0,2,s,n,100,1380,67
Campinas,122,3,2,1,4,s,n,250,1750,117
Porto Alegre,50,1,1,1,4,s,n,420,1190,0
São Paulo,320,4,5,4,-,s,n,0,7000,700
Porto Alegre,40,1,1,0,4,n,s,0,2000,0
São Paulo,67,2,1,1,2,s,s,814,1300,91
Porto Alegre,55,1,1,1,2,s,n,300,1000,50
São Paulo,40,1,2,1,28,n,s,1935,4200,318
São Paulo,500,5,7,5,22,s,n,5500,14000,2084
São Paulo,86,3,3,0,1,n,n,1100,2500,75
São Paulo,30,1,1,0,7,n,n,545,1350,39
Campinas,269,4,5,0,12,s,n,3000,5100,963
São Paulo,51,2,1,1,7,s,n,468,1100,75
São Paulo,60,1,1,0,-,n,n,0,1300,144
São Paulo,330,3,6,5,-,s,s,0,7100,0
Rio de Janeiro,70,3,2,0,1,s,n,0,1500,50
Belo Horizonte,70,2,1,0,1,s,n,0,1200,42
Porto Alegre,425,4,4,0,-,s,n,0,15000,750
Belo Horizonte,140,4,3,2,3,s,n,822,2200,132
São Paulo,160,4,4,2,3,n,n,2700,7000,275
Belo Horizonte,120,4,3,2,1,s,n,0,3250,0
Rio de Janeiro,200,4,3,1,1,n,s,2400,6800,534
São Paulo,47,1,1,1,3,s,s,907,9200,313
São Paulo,16,1,1,0,1,n,n,0,850,30
São Paulo,35,2,1,0,1,s,n,190,1290,0
São Paulo,150,4,3,4,-,s,n,0,3000,500
Porto Alegre,74,3,1,1,1,s,n,380,1090,42
Campinas,270,3,3,5,-,s,n,0,7500,459
São Paulo,210,3,4,3,5,s,s,4100,9945,1000
Campinas,46,1,1,0,6,s,n,399,850,15
São Paulo,96,2,1,1,4,n,n,800,3000,0
Porto Alegre,42,1,1,1,3,s,s,162,1400,17
São Paulo,287,4,5,4,5,s,n,3311,3800,1744
Porto Alegre,180,2,2,1,4,s,n,170,2001,25
São Paulo,300,3,2,5,-,s,n,0,11500,2000
São Paulo,52,1,2,1,4,s,s,795,3850,297
São Paulo,236,4,5,7,4,s,s,3000,10800,1084
Belo Horizonte,80,2,3,2,6,s,n,980,3260,350
Rio de Janeiro,78,2,1,1,8,s,n,999,1275,125
São Paulo,210,4,4,4,4,n,n,2857,11500,1480
Porto Alegre,39,1,1,1,1,n,s,185,900,27
São Paulo,45,1,1,0,-,n,n,0,1000,34
Porto Alegre,74,2,2,0,10,s,n,550,2700,50
São Paulo,235,3,3,1,3,s,n,2585,5150,575
São Paulo,170,3,3,2,8,s,n,1800,7000,559
Campinas,63,2,1,1,1,s,n,498,840,90
Porto Alegre,60,2,1,1,5,s,n,350,1150,50
Belo Horizonte,70,2,1,1,4,s,s,600,1500,125
São Paulo,100,3,3,3,-,s,n,0,4300,120
São Paulo,250,3,3,2,3,s,n,1900,9500,500
São Paulo,127,4,3,0,11,n,n,1154,5300,407
Campinas,73,3,1,1,4,s,n,308,850,46
São Paulo,50,2,1,1,12,s,n,340,1490,0
São Paulo,300,4,4,6,7,n,s,4000,5500,1180
Rio de Janeiro,280,3,3,3,6,s,n,2500,4000,990
São Paulo,211,4,5,4,2,s,n,1543,3800,714
São Paulo,287,4,4,4,6,n,n,7900,11300,2590
São Paulo,30,1,1,1,3,s,s,700,3300,9
Campinas,40,1,1,0,4,s,n,420,500,17
São Paulo,95,3,2,2,15,s,n,720,3490,167
Porto Alegre,44,1,1,0,2,s,s,316,1163,49
São Paulo,244,3,4,2,7,s,s,3500,12000,648
São Paulo,72,2,1,1,2,n,s,510,1350,100
São Paulo,80,2,2,1,-,n,n,0,1500,75
São Paulo,73,2,1,1,4,s,n,680,1300,21
São Paulo,255,3,4,2,10,s,s,2600,6000,500
São Paulo,185,4,5,4,5,s,n,2800,7100,1081
Rio de Janeiro,257,4,3,2,3,s,s,3250,3800,709
Rio de Janeiro,28,1,1,0,16,s,n,1100,730,99
São Paulo,330,4,5,4,-,s,n,0,4000,274
São Paulo,211,3,5,3,12,s,s,2500,7000,750
São Paulo,156,3,4,2,7,s,n,1800,2000,0
Rio de Janeiro,90,3,2,1,10,n,s,1500,3500,350
Rio de Janeiro,60,2,1,0,6,n,s,498,2000,185
São Paulo,330,2,4,3,-,s,n,0,6000,2000
Rio de Janeiro,25,1,1,0,-,s,n,50,700,0
Porto Alegre,64,2,1,0,1,s,n,300,1750,42
São Paulo,62,2,2,1,2,n,s,733,3200,129
Porto Alegre,170,2,3,1,-,s,n,0,1300,50
Rio de Janeiro,65,2,2,0,2,s,s,720,1500,60
Rio de Janeiro,140,3,2,1,22,n,n,732,3000,305
São Paulo,420,4,5,4,-,s,n,0,10000,667
São Paulo,370,4,5,5,17,s,s,4800,5000,1992
Campinas,54,1,1,1,5,s,n,750,773,67
Porto Alegre,105,3,2,2,3,s,s,370,2890,217
São Paulo,72,2,2,1,1,s,n,742,2330,0
Porto Alegre,79,2,1,0,10,s,n,400,1880,67
São Paulo,54,2,1,1,4,n,n,570,2000,10
São Paulo,24,1,1,0,4,n,s,368,2530,55
Belo Horizonte,360,6,2,0,-,s,n,1,6000,688
São Paulo,35,1,1,1,24,s,s,540,2100,140
São Paulo,62,2,1,1,1,s,s,220,1590,40
São Paulo,45,2,1,1,4,s,s,430,2364,77
Porto Alegre,23,1,1,1,5,n,n,170,1100,34
São Paulo,100,2,1,1,5,s,s,1400,3800,234
São Paulo,135,2,3,2,5,n,n,2000,12300,542
São Paulo,59,2,2,1,12,s,n,360,2200,18
São Paulo,320,5,3,8,-,s,n,0,14000,917
São Paulo,20,1,1,0,3,n,s,300,600,40
São Paulo,250,4,4,3,6,s,n,2360,6970,1580
Campinas,197,3,4,4,8,s,n,1700,9000,500
Rio de Janeiro,75,2,1,0,3,s,n,888,1900,267
Rio de Janeiro,136,3,2,1,7,s,n,2300,3800,600
São Paulo,76,2,1,1,-,s,n,0,2000,45
São Paulo,380,3,6,8,-,s,s,0,9000,244
São Paulo,650,4,6,6,-,s,n,0,8500,1600
Belo Horizonte,48,2,1,1,2,s,n,170,1400,12
Rio de Janeiro,74,2,1,1,1,s,n,100,900,65
São Paulo,146,3,3,3,11,n,n,1655,7000,442
São Paulo,50,2,1,1,1,s,n,496,1200,0
São Paulo,38,1,1,1,5,n,s,1450,3400,0
São Paulo,106,2,2,2,1,n,s,1170,10600,334
Campinas,50,1,1,1,1,s,n,650,900,69
Belo Horizonte,115,3,3,2,6,s,n,700,1920,209
Campinas,90,3,1,1,1,s,n,1000,960,83
São Paulo,60,2,2,1,3,s,s,900,5700,212
São Paulo,280,3,4,4,4,s,n,5000,15000,1500
São Paulo,65,2,2,1,12,n,s,980,6000,250
São Paulo,230,3,4,2,3,s,n,2000,4800,292
São Paulo,192,4,5,4,11,n,s,2800,15000,90
São Paulo,70,2,2,0,1,s,n,280,1000,138
Rio de Janeiro,48,2,1,1,12,s,n,400,1270,9
Rio de Janeiro,150,3,1,2,2,s,n,3290,5200,710
